power,Ws,relay,temperature,time
0,36.8,False,28.5,2022-12-21 11:54:12.653123
5.4,6.4,True,25.5,2022-12-21 11:54:14.006630
11.9,8.8,True,25.5,2022-12-21 11:54:15.119087
49.3,28.4,True,25.5,2022-12-21 11:54:16.216114
35,33,True,25.5,2022-12-21 11:54:17.464959
55.7,54.9,True,25.5,2022-12-21 11:54:18.565005
27.1,38.5,True,25.5,2022-12-21 11:54:19.756799
26.8,47.1,True,25.5,2022-12-21 11:54:20.839658
60.8,42.4,True,25.5,2022-12-21 11:54:21.901595
9.3,36,True,25.5,2022-12-21 11:54:23.099454
29.7,31.6,True,25.5,2022-12-21 11:54:24.277861
31.7,21.3,True,25.5,2022-12-21 11:54:25.447932
52.7,35.4,True,25.5,2022-12-21 11:54:26.945681
53.3,52.7,True,25.5,2022-12-21 11:54:28.155425
54.3,53.1,True,25.5,2022-12-21 11:54:29.223799
54.5,55.2,True,25.5,2022-12-21 11:54:30.576236
55,55.2,True,25.5,2022-12-21 11:54:31.672282
55.4,53.8,True,25.5,2022-12-21 11:54:32.730305
55.4,55.4,True,25.5,2022-12-21 11:54:33.831688
55.6,55.6,True,25.5,2022-12-21 11:54:34.956007
55.9,57,True,25.5,2022-12-21 11:54:36.089214
56.1,55.8,True,25.5,2022-12-21 11:54:37.182678
56.2,56.4,True,25.5,2022-12-21 11:54:38.429704
56.4,55.9,True,25.5,2022-12-21 11:54:39.543982
56.5,57.5,True,25.5,2022-12-21 11:54:41.253909
56.7,56.8,True,25.5,2022-12-21 11:54:42.355830
56.8,55.7,True,25.5,2022-12-21 11:54:43.438660
56.9,57.2,True,25.5,2022-12-21 11:54:44.768689
57.3,57.5,True,25.5,2022-12-21 11:54:45.887694
57.1,57.5,True,25.5,2022-12-21 11:54:47.012226
56.9,57.1,True,25.5,2022-12-21 11:54:48.386566
57,56.4,True,25.5,2022-12-21 11:54:49.478867
57.2,56.9,True,25.5,2022-12-21 11:54:51.212971
57,57.1,True,25.5,2022-12-21 11:54:52.437212
56.9,56.7,True,25.5,2022-12-21 11:54:53.801416
57.2,57,True,25.5,2022-12-21 11:54:54.900752
56.7,57.2,True,25.5,2022-12-21 11:54:56.308106
56.7,57.2,True,25.5,2022-12-21 11:54:57.403740
56.5,57.2,True,25.5,2022-12-21 11:54:58.466903
56.5,56.2,True,25.5,2022-12-21 11:55:00.138671
56.6,55.7,True,25.5,2022-12-21 11:55:01.197550
56.9,57.2,True,25.5,2022-12-21 11:55:02.291255
56.4,57.2,True,25.5,2022-12-21 11:55:03.611535
56.3,56.2,True,25.5,2022-12-21 11:55:04.712975
56.3,56.3,True,25.5,2022-12-21 11:55:05.831382
56.1,55.1,True,25.5,2022-12-21 11:55:06.928104
56.1,57,True,25.5,2022-12-21 11:55:08.021413
56.1,55.7,True,25.5,2022-12-21 11:55:09.085170
56.1,56.4,True,25.5,2022-12-21 11:55:10.417677
56,56.6,True,25.5,2022-12-21 11:55:12.013311
56.1,56,True,25.5,2022-12-21 11:55:13.166195
55.9,56,True,25.4,2022-12-21 11:55:14.273978
56,55.3,True,25.4,2022-12-21 11:55:15.360696
55.8,55.8,True,25.4,2022-12-21 11:55:16.427098
55.8,55.7,True,25.4,2022-12-21 11:55:17.799744
55.7,55.5,True,25.4,2022-12-21 11:55:19.344301
55.7,56.8,True,25.4,2022-12-21 11:55:20.423518
55.7,55.3,True,25.4,2022-12-21 11:55:21.524022
55.7,55.3,True,25.4,2022-12-21 11:55:22.619070
55.6,56.9,True,25.5,2022-12-21 11:55:23.685132
55.8,55.6,True,25.5,2022-12-21 11:55:24.780610
55.6,54.6,True,25.5,2022-12-21 11:55:26.367244
55.6,56.8,True,25.5,2022-12-21 11:55:27.433258
55.6,54.9,True,25.5,2022-12-21 11:55:28.540530
55.5,55.7,True,25.5,2022-12-21 11:55:29.841214
55.6,55.2,True,25.5,2022-12-21 11:55:30.907888
55.6,55.7,True,25.5,2022-12-21 11:55:31.999931
55.4,56,True,25.5,2022-12-21 11:55:33.456982
55.5,55.2,True,25.5,2022-12-21 11:55:34.539393
55.4,55.1,True,25.5,2022-12-21 11:55:35.780771
55.4,55.5,True,25.5,2022-12-21 11:55:39.245180
55.5,56,True,25.5,2022-12-21 11:55:40.331519
55.4,54.4,True,25.5,2022-12-21 11:55:41.482782
56.8,56.2,True,25.5,2022-12-21 11:55:42.561430
55.5,56.3,True,25.5,2022-12-21 11:55:43.650388
55.7,54.9,True,25.5,2022-12-21 11:55:44.712658
55,55.1,True,25.5,2022-12-21 11:55:46.095395
55.1,55.1,True,25.5,2022-12-21 11:55:47.358711
55.1,56,True,25.5,2022-12-21 11:55:48.472091
54.9,53.8,True,25.5,2022-12-21 11:55:49.740634
55.2,56.2,True,25.5,2022-12-21 11:55:51.184563
55.1,54.6,True,25.5,2022-12-21 11:55:52.360404
55.1,55,True,25.5,2022-12-21 11:55:53.606315
55.3,55,True,25.5,2022-12-21 11:55:54.709978
54.9,54.9,True,25.5,2022-12-21 11:55:55.816289
54.9,56.1,True,25.5,2022-12-21 11:55:57.213557
55.1,55,True,25.5,2022-12-21 11:55:58.659906
55.1,54.3,True,25.5,2022-12-21 11:55:59.726210
55.1,54.8,True,25.5,2022-12-21 11:56:01.262346
55.1,56.4,True,25.5,2022-12-21 11:56:02.510913
55.1,55.1,True,25.5,2022-12-21 11:56:03.581340
55.1,54.3,True,25.5,2022-12-21 11:56:04.806292
55.2,55,True,25.5,2022-12-21 11:56:06.015311
55.2,55.2,True,25.5,2022-12-21 11:56:07.086705
55.2,55.3,True,25.5,2022-12-21 11:56:08.181082
55.1,55.5,True,25.5,2022-12-21 11:56:09.276944
55.3,55,True,25.5,2022-12-21 11:56:10.349772
55.1,56.5,True,25.5,2022-12-21 11:56:11.455147
55.1,54.3,True,25.5,2022-12-21 11:56:13.006923
55,55,True,25.5,2022-12-21 11:56:14.076607
55.1,56.4,True,25.5,2022-12-21 11:56:15.397129
55.3,55,True,25.5,2022-12-21 11:56:16.492102
55.2,55.3,True,25.5,2022-12-21 11:56:17.570082
55.2,54.9,True,25.5,2022-12-21 11:56:18.675949
55.3,54.9,True,25.5,2022-12-21 11:56:19.774696
55.2,54.6,True,25.5,2022-12-21 11:56:20.862402
55.3,55.4,True,25.5,2022-12-21 11:56:21.962544
55.2,55.4,True,25.5,2022-12-21 11:56:23.276549
55.3,56.2,True,25.4,2022-12-21 11:56:24.392649
56.2,56.3,True,25.4,2022-12-21 11:56:25.460627
55.8,55.7,True,25.4,2022-12-21 11:56:26.693663
55.6,55.3,True,25.4,2022-12-21 11:56:28.008599
56.5,56.5,True,25.4,2022-12-21 11:56:29.116467
55.2,56.1,True,25.4,2022-12-21 11:56:30.756627
55.1,54.7,True,25.4,2022-12-21 11:56:31.930497
55.4,56.1,True,25.4,2022-12-21 11:56:33.124998
55.4,54,True,25.5,2022-12-21 11:56:34.335263
55.3,55.6,True,25.5,2022-12-21 11:56:36.056322
55.2,55,True,25.5,2022-12-21 11:56:37.126558
55.4,56.9,True,25.5,2022-12-21 11:56:38.190750
55.1,54.5,True,25.5,2022-12-21 11:56:39.308491
55.3,55.9,True,25.5,2022-12-21 11:56:40.401389
55.3,54.1,True,25.5,2022-12-21 11:56:41.493547
55.2,55,True,25.5,2022-12-21 11:56:42.869152
55.3,56.8,True,25.5,2022-12-21 11:56:43.937403
55.2,54.4,True,25.5,2022-12-21 11:56:45.308071
55.3,55.2,True,25.5,2022-12-21 11:56:46.372041
55.2,55.3,True,25.5,2022-12-21 11:56:47.759564
55.3,54.8,True,25.5,2022-12-21 11:56:48.828118
55.3,55.2,True,25.5,2022-12-21 11:56:49.903778
55.3,56.3,True,25.5,2022-12-21 11:56:50.972276
55.4,55,True,25.5,2022-12-21 11:56:52.049252
55.2,56.1,True,25.5,2022-12-21 11:56:53.124802
55.3,55.1,True,25.5,2022-12-21 11:56:54.192430
55.4,55.4,True,25.5,2022-12-21 11:56:55.253503
55.2,54.3,True,25.5,2022-12-21 11:56:56.350963
56,56.6,True,25.5,2022-12-21 11:56:57.858928
55.2,55.5,True,25.5,2022-12-21 11:56:58.920254
55.4,55.1,True,25.5,2022-12-21 11:56:59.990650
55.3,54.5,True,25.5,2022-12-21 11:57:01.064423
55.3,55.4,True,25.5,2022-12-21 11:57:02.125499
55.4,55.1,True,25.5,2022-12-21 11:57:03.192727
55.3,55.1,True,25.5,2022-12-21 11:57:04.258114
55.1,55.4,True,25.5,2022-12-21 11:57:05.495787
55.2,55.7,True,25.5,2022-12-21 11:57:06.868010
55.2,55,True,25.5,2022-12-21 11:57:07.936801
55.2,54.7,True,25.5,2022-12-21 11:57:09.011832
55.2,56,True,25.5,2022-12-21 11:57:10.170769
55.2,54.4,True,25.5,2022-12-21 11:57:11.255543
55.2,55.6,True,25.5,2022-12-21 11:57:12.697216
55.3,56.5,True,25.5,2022-12-21 11:57:13.769504
55.2,55.2,True,25.5,2022-12-21 11:57:14.833295
55.3,55.1,True,25.5,2022-12-21 11:57:15.902075
55.5,55,True,25.5,2022-12-21 11:57:16.968975
55.3,55.3,True,25.5,2022-12-21 11:57:18.032479
55,54.9,True,25.5,2022-12-21 11:57:19.103238
55.4,55.2,True,25.5,2022-12-21 11:57:20.175911
55.2,55.5,True,25.5,2022-12-21 11:57:21.299025
55.1,54.8,True,25.5,2022-12-21 11:57:22.373059
55.4,56.3,True,25.5,2022-12-21 11:57:23.669257
55.4,55.7,True,25.5,2022-12-21 11:57:24.753079
55.2,55.2,True,25.5,2022-12-21 11:57:25.816007
55.3,55.3,True,25.5,2022-12-21 11:57:27.000065
55.3,55.2,True,25.5,2022-12-21 11:57:28.088569
55.1,55.1,True,25.5,2022-12-21 11:57:29.153448
55.1,55.3,True,25.5,2022-12-21 11:57:30.218765
55.6,55,True,25.5,2022-12-21 11:57:31.286674
55.6,55.3,True,25.5,2022-12-21 11:57:32.350248
55.4,55.3,True,25.5,2022-12-21 11:57:33.418896
55.1,54.8,True,25.5,2022-12-21 11:57:34.493374
55.3,56.3,True,25.5,2022-12-21 11:57:35.576478
55.3,55.3,True,25.5,2022-12-21 11:57:36.669445
55.6,55.5,True,25.5,2022-12-21 11:57:37.771390
55.2,55.3,True,25.5,2022-12-21 11:57:38.862846
55.2,54.4,True,25.5,2022-12-21 11:57:40.239875
55.3,55.3,True,25.5,2022-12-21 11:57:41.338812
55.3,56.3,True,25.5,2022-12-21 11:57:42.441915
55.3,55.2,True,25.5,2022-12-21 11:57:43.506485
55.2,55.2,True,25.5,2022-12-21 11:57:44.574540
55.5,55,True,25.5,2022-12-21 11:57:45.640765
55.4,56,True,25.5,2022-12-21 11:57:47.007816
55.3,55.1,True,25.5,2022-12-21 11:57:48.076070
55.3,54.5,True,25.5,2022-12-21 11:57:49.237134
59.5,58.8,True,25.5,2022-12-21 11:57:50.330994
57.9,59.1,True,25.5,2022-12-21 11:57:51.415342
57.7,58.4,True,25.5,2022-12-21 11:57:52.488090
57.3,57.4,True,25.5,2022-12-21 11:57:53.546454
56.5,57.2,True,25.5,2022-12-21 11:57:54.611911
56.4,56.8,True,25.5,2022-12-21 11:57:55.689173
57,56.6,True,25.5,2022-12-21 11:57:56.802754
58,57.7,True,25.5,2022-12-21 11:57:57.941668
57.9,57.7,True,25.5,2022-12-21 11:57:59.028673
56.2,57.4,True,25.5,2022-12-21 11:58:00.403768
56.8,56.9,True,25.5,2022-12-21 11:58:01.501215
56.2,56.7,True,25.5,2022-12-21 11:58:02.569070
56,55.1,True,25.5,2022-12-21 11:58:03.637578
56,57.1,True,25.5,2022-12-21 11:58:04.701518
56,55.1,True,25.5,2022-12-21 11:58:05.774187
56.3,56.7,True,25.5,2022-12-21 11:58:06.839737
56.3,57.4,True,25.5,2022-12-21 11:58:07.900750
56.1,54.6,True,25.5,2022-12-21 11:58:08.977616
55.9,56.9,True,25.5,2022-12-21 11:58:10.374469
56.4,55.9,True,25.5,2022-12-21 11:58:11.839330
56.5,55.3,True,25.5,2022-12-21 11:58:12.967983
57.5,56.5,True,25.5,2022-12-21 11:58:14.353377
56.4,58.1,True,25.5,2022-12-21 11:58:15.429020
56.5,56.3,True,25.5,2022-12-21 11:58:16.544603
59.1,56.7,True,25.5,2022-12-21 11:58:17.625614
58.5,59.2,True,25.5,2022-12-21 11:58:18.716878
57.1,58.1,True,25.5,2022-12-21 11:58:19.899328
57.9,56.4,True,25.5,2022-12-21 11:58:21.015696
57.1,57.5,True,25.5,2022-12-21 11:58:22.113092
56.4,57,True,25.5,2022-12-21 11:58:23.194341
56.1,56.7,True,25.6,2022-12-21 11:58:24.272745
56.1,55.2,True,25.6,2022-12-21 11:58:25.653821
56,57.1,True,25.6,2022-12-21 11:58:26.892252
56.8,56.4,True,25.6,2022-12-21 11:58:28.068934
55.7,55.1,True,25.6,2022-12-21 11:58:29.135331
55.8,56.2,True,25.6,2022-12-21 11:58:30.438974
57.7,56.1,True,25.6,2022-12-21 11:58:31.516391
48.4,54.7,True,25.6,2022-12-21 11:58:32.596809
24.6,29.1,True,25.5,2022-12-21 11:58:33.666474
56.7,34.8,True,25.5,2022-12-21 11:58:34.755804
64.1,59.7,True,25.5,2022-12-21 11:58:35.850397
64,64.2,True,25.5,2022-12-21 11:58:36.918254
63.8,65,True,25.5,2022-12-21 11:58:38.036424
64.1,64.2,True,25.5,2022-12-21 11:58:39.408789
63.8,62.6,True,25.5,2022-12-21 11:58:40.473431
64.1,65.4,True,25.5,2022-12-21 11:58:41.552490
64,63.3,True,25.5,2022-12-21 11:58:42.640601
63.9,64.2,True,25.5,2022-12-21 11:58:43.774138
64.2,64.5,True,25.5,2022-12-21 11:58:44.858956
64,63.4,True,25.5,2022-12-21 11:58:45.940832
63.9,63.9,True,25.5,2022-12-21 11:58:47.018030
63.7,63.2,True,25.5,2022-12-21 11:58:48.100996
64.1,65,True,25.5,2022-12-21 11:58:49.189693
63.9,64.2,True,25.5,2022-12-21 11:58:50.256362
64.1,64.1,True,25.5,2022-12-21 11:58:51.323564
64,62.6,True,25.5,2022-12-21 11:58:52.395831
64.1,64.2,True,25.5,2022-12-21 11:58:53.458618
64,64.2,True,25.5,2022-12-21 11:58:54.534296
64,64,True,25.5,2022-12-21 11:58:55.613715
63.7,64.5,True,25.5,2022-12-21 11:58:56.694596
63.9,63.8,True,25.5,2022-12-21 11:58:57.781541
64,63.2,True,25.5,2022-12-21 11:58:58.950541
64,65.3,True,25.5,2022-12-21 11:59:00.329692
63.9,63.2,True,25.5,2022-12-21 11:59:01.415928
63.9,64.3,True,25.5,2022-12-21 11:59:02.498271
64.1,63,True,25.5,2022-12-21 11:59:03.571616
64.1,64.3,True,25.5,2022-12-21 11:59:04.651449
63.9,65.1,True,25.5,2022-12-21 11:59:05.723550
64.4,64.2,True,25.5,2022-12-21 11:59:06.800122
64.1,65.2,True,25.5,2022-12-21 11:59:07.875660
64,64,True,25.5,2022-12-21 11:59:08.950841
64.7,64.1,True,25.5,2022-12-21 11:59:10.015021
67.3,66.4,True,25.5,2022-12-21 11:59:11.077333
52.4,38.5,True,25.5,2022-12-21 11:59:12.153328
21.5,30.3,True,25.5,2022-12-21 11:59:13.311386
27.6,30.1,True,25.6,2022-12-21 11:59:14.677541
59.4,36.9,True,25.6,2022-12-21 11:59:15.743755
65.4,64.3,True,25.6,2022-12-21 11:59:16.808428
65.8,64.2,True,25.6,2022-12-21 11:59:17.877408
66.5,67.9,True,25.6,2022-12-21 11:59:18.944360
35.4,40.5,True,25.6,2022-12-21 11:59:20.012430
30.1,38.1,True,25.6,2022-12-21 11:59:21.087377
52.2,45.9,True,25.6,2022-12-21 11:59:22.160049
52.6,52.9,True,25.6,2022-12-21 11:59:23.232785
53.9,53.3,True,25.5,2022-12-21 11:59:24.298106
53.1,52.6,True,25.5,2022-12-21 11:59:25.678015
53.2,53,True,25.5,2022-12-21 11:59:26.748611
53.4,54.5,True,25.5,2022-12-21 11:59:27.837838
53.5,53.2,True,25.5,2022-12-21 11:59:28.972150
53.5,53.2,True,25.5,2022-12-21 11:59:30.043009
53.8,54.6,True,25.5,2022-12-21 11:59:31.124788
54.1,54.2,True,25.5,2022-12-21 11:59:32.220740
54.2,53.7,True,25.5,2022-12-21 11:59:33.293507
54.4,55,True,25.6,2022-12-21 11:59:34.364026
54.5,53.4,True,25.6,2022-12-21 11:59:35.428530
54.9,55,True,25.6,2022-12-21 11:59:36.499679
54.5,54.6,True,25.6,2022-12-21 11:59:37.574190
54.6,54.7,True,25.6,2022-12-21 11:59:38.652973
54.6,54.7,True,25.6,2022-12-21 11:59:39.723814
54.4,54.8,True,25.6,2022-12-21 11:59:40.797726
55.2,54.8,True,25.6,2022-12-21 11:59:41.868389
12.7,30.6,True,25.6,2022-12-21 11:59:42.965687
7.2,7.4,True,25.6,2022-12-21 11:59:44.543351
7.3,7.3,True,25.6,2022-12-21 11:59:45.616906
7.3,7.2,True,25.6,2022-12-21 11:59:46.685857
7.3,7.3,True,25.6,2022-12-21 11:59:47.755550
7.4,7,True,25.6,2022-12-21 11:59:49.135086
7.3,7.3,True,25.6,2022-12-21 11:59:50.208261
7.3,7.2,True,25.6,2022-12-21 11:59:51.284281
7.3,7.3,True,25.6,2022-12-21 11:59:52.359065
7.1,7,True,25.6,2022-12-21 11:59:53.471308
7,8.2,True,25.6,2022-12-21 11:59:54.662509
7,7.2,True,25.6,2022-12-21 11:59:55.744844
7,7,True,25.6,2022-12-21 11:59:56.857069
7.1,7,True,25.6,2022-12-21 11:59:57.987116
6.9,6.6,True,25.6,2022-12-21 11:59:59.149006
7,6.9,True,25.6,2022-12-21 12:00:00.285782
7,7.2,True,25.6,2022-12-21 12:00:01.360193
7,7.3,True,25.6,2022-12-21 12:00:02.434732
8.3,7.3,True,25.6,2022-12-21 12:00:03.501199
7.4,7.1,True,25.5,2022-12-21 12:00:04.604846
7.3,7.2,True,25.5,2022-12-21 12:00:05.700747
7.1,8.9,True,25.5,2022-12-21 12:00:06.770578
7.2,7.3,True,25.5,2022-12-21 12:00:07.842302
7.2,7.2,True,25.5,2022-12-21 12:00:08.922709
7.1,7.2,True,25.5,2022-12-21 12:00:10.003088
7.3,7.3,True,25.5,2022-12-21 12:00:11.075524
7.3,7.3,True,25.5,2022-12-21 12:00:12.145656
7.3,7.2,True,25.5,2022-12-21 12:00:13.236732
6.9,7.2,True,25.6,2022-12-21 12:00:14.854917
7,5.4,True,25.6,2022-12-21 12:00:15.950866
7.1,8.6,True,25.6,2022-12-21 12:00:17.075873
7,5.5,True,25.6,2022-12-21 12:00:18.146979
7,7.2,True,25.6,2022-12-21 12:00:19.219710
7,7.3,True,25.6,2022-12-21 12:00:20.291661
7,7.2,True,25.6,2022-12-21 12:00:21.369308
7,7.2,True,25.6,2022-12-21 12:00:22.444313
7,7.2,True,25.6,2022-12-21 12:00:23.522851
29.7,34.5,True,25.6,2022-12-21 12:00:24.607741
54.9,36.4,True,25.6,2022-12-21 12:00:25.679798
55.3,54.4,True,25.6,2022-12-21 12:00:26.868183
55.4,55.4,True,25.6,2022-12-21 12:00:27.971780
55.4,55.3,True,25.6,2022-12-21 12:00:29.099820
55.5,56.3,True,25.6,2022-12-21 12:00:30.176803
55.4,55,True,25.6,2022-12-21 12:00:31.245421
55.4,56.6,True,25.6,2022-12-21 12:00:32.321066
55.5,54.5,True,25.6,2022-12-21 12:00:33.397734
56,56.1,True,25.6,2022-12-21 12:00:34.483754
55.5,54.8,True,25.6,2022-12-21 12:00:35.878049
55.5,56.7,True,25.6,2022-12-21 12:00:36.946066
55.4,54.7,True,25.6,2022-12-21 12:00:38.021091
55.5,55.6,True,25.6,2022-12-21 12:00:39.119769
55.1,55.8,True,25.6,2022-12-21 12:00:40.492542
55.4,54.4,True,25.6,2022-12-21 12:00:41.604651
55.5,56.1,True,25.6,2022-12-21 12:00:42.691171
