power,Ws,relay,temperature,time
0,0,False,25.1,2022-12-21 06:45:35.267765
0,4.5,True,25.1,2022-12-21 06:45:40.815098
1203,691.9,True,25.1,2022-12-21 06:45:45.898090
1201.5,1202.5,True,25.1,2022-12-21 06:45:51.293428
1196.4,1199.6,True,25.1,2022-12-21 06:45:56.405073
1197.1,1191.6,True,25.1,2022-12-21 06:46:01.475767
21.6,930.7,True,25.2,2022-12-21 06:46:06.572715
0,0,True,25.2,2022-12-21 06:46:11.841023
0,0,True,25.3,2022-12-21 06:46:16.920819
0,0,True,25.3,2022-12-21 06:46:22.329304
0,0,True,25.2,2022-12-21 06:46:27.482778
0,0,True,25.2,2022-12-21 06:46:32.568188
0,0,True,25.2,2022-12-21 06:46:37.689759
0,0,True,25.2,2022-12-21 06:46:42.783485
0,0,True,25.3,2022-12-21 06:46:47.901798
58.3,213.6,True,25.3,2022-12-21 06:46:53.041796
1249,647.2,True,25.3,2022-12-21 06:46:58.123303
1241.9,1243.5,True,25.3,2022-12-21 06:47:03.200334
1243.5,463.7,True,25.3,2022-12-21 06:47:08.290773
49.2,863.5,True,25.3,2022-12-21 06:47:13.367839
1238,605.4,True,25.3,2022-12-21 06:47:18.446759
49.2,594.8,True,25.3,2022-12-21 06:47:23.523544
1239.5,811.9,True,25.3,2022-12-21 06:47:28.616972
49.6,382.5,True,25.4,2022-12-21 06:47:33.714195
1242.7,1089.9,True,25.4,2022-12-21 06:47:38.816409
49.9,437.9,True,25.4,2022-12-21 06:47:43.914338
1241.1,1181.9,True,25.4,2022-12-21 06:47:49.015205
0,239.6,True,25.5,2022-12-21 06:47:54.107716
23.8,184.3,True,25.5,2022-12-21 06:47:59.190423
598.2,74.8,True,25.5,2022-12-21 06:48:04.278049
1253,833.2,True,25.5,2022-12-21 06:48:09.377669
56.6,1144.2,True,25.5,2022-12-21 06:48:14.462098
1249,792,True,25.5,2022-12-21 06:48:19.535764
69.2,1055.4,True,25.5,2022-12-21 06:48:24.922776
65.2,1183.2,True,25.5,2022-12-21 06:48:30.027203
1245.8,1096.3,True,25.5,2022-12-21 06:48:35.137322
93.8,227,True,25.5,2022-12-21 06:48:40.224541
1195.7,449.5,True,25.5,2022-12-21 06:48:45.307616
71.3,515.8,True,25.5,2022-12-21 06:48:50.389429
10.4,172.9,True,25.6,2022-12-21 06:48:55.782035
0,0,True,25.6,2022-12-21 06:49:00.873323
0,0,True,25.6,2022-12-21 06:49:05.944176
0,0,True,25.6,2022-12-21 06:49:11.054064
0,0,True,25.6,2022-12-21 06:49:16.127321
0,0,True,25.6,2022-12-21 06:49:21.260630
0,0,True,25.6,2022-12-21 06:49:26.333401
0,0,True,25.6,2022-12-21 06:49:31.402710
0,0,True,25.6,2022-12-21 06:49:36.780361
0,0,True,25.6,2022-12-21 06:49:41.862520
0,0,True,25.6,2022-12-21 06:49:46.966811
0,0,True,25.6,2022-12-21 06:49:52.044900
0,0,True,25.6,2022-12-21 06:49:57.125012
0,0,True,25.6,2022-12-21 06:50:02.208044
0,0,True,25.6,2022-12-21 06:50:07.284776
0,0,True,25.6,2022-12-21 06:50:12.557902
0,0,True,25.6,2022-12-21 06:50:17.938541
0,0,True,25.6,2022-12-21 06:50:23.033682
0,0,True,25.7,2022-12-21 06:50:28.160338
0,0,True,25.7,2022-12-21 06:50:33.241411
0,1.9,True,25.7,2022-12-21 06:50:38.343929
0,181,True,25.7,2022-12-21 06:50:43.479674
0,0,True,25.7,2022-12-21 06:50:48.859561
0,0,True,25.8,2022-12-21 06:50:53.992006
0,0,True,25.8,2022-12-21 06:50:59.483331
0,0,True,25.7,2022-12-21 06:51:04.596996
0,0,True,25.7,2022-12-21 06:51:09.693843
0,0,True,25.8,2022-12-21 06:51:14.775611
0,0,True,25.8,2022-12-21 06:51:19.865219
0,0,True,25.6,2022-12-21 06:51:24.951648
0,0,True,25.6,2022-12-21 06:51:30.036432
0,0,True,25.8,2022-12-21 06:51:35.120446
0,0,True,25.8,2022-12-21 06:51:40.202592
0,0,True,25.6,2022-12-21 06:51:45.287587
1127.6,36.7,True,25.6,2022-12-21 06:51:50.357626
0,146.4,True,25.7,2022-12-21 06:51:55.433809
0,0,True,25.7,2022-12-21 06:52:00.519772
0,0,True,25.8,2022-12-21 06:52:05.633759
0,0,True,25.8,2022-12-21 06:52:10.727487
0,0,True,25.7,2022-12-21 06:52:15.807803
0,0,True,25.7,2022-12-21 06:52:20.886209
0,0,True,25.7,2022-12-21 06:52:25.963225
0,0,True,25.7,2022-12-21 06:52:31.034645
0,0,True,25.8,2022-12-21 06:52:36.141240
0,0,True,25.8,2022-12-21 06:52:41.215229
0,0,True,25.8,2022-12-21 06:52:46.595106
0,0,True,25.8,2022-12-21 06:52:51.680693
0,0,True,25.7,2022-12-21 06:52:56.758750
98.5,184,True,25.7,2022-12-21 06:53:01.869178
0,0,True,25.8,2022-12-21 06:53:06.964518
0,0,True,25.8,2022-12-21 06:53:15.643453
0,0,True,25.8,2022-12-21 06:53:20.747153
0,0,True,25.7,2022-12-21 06:53:25.838365
0,0,True,25.7,2022-12-21 06:53:31.217899
