power,Ws,relay,temperature,time
0,45.3,False,25.1,2022-12-26 13:43:08.227003
0,0,True,25.1,2022-12-26 13:43:09.086692
0,0,True,25.1,2022-12-26 13:43:09.656652
0,0,True,25.1,2022-12-26 13:43:10.224648
0,0,True,25.1,2022-12-26 13:43:10.787349
0,3.4,True,25.1,2022-12-26 13:43:11.354998
57.4,43.8,True,25.1,2022-12-26 13:43:11.938715
71.3,73.2,True,24.3,2022-12-26 13:43:12.525730
71.7,71.8,True,24.3,2022-12-26 13:43:13.101817
71,68.6,True,24.3,2022-12-26 13:43:13.678501
71.4,73,True,24.3,2022-12-26 13:43:14.237211
71.1,69.4,True,24.3,2022-12-26 13:43:14.799474
71.3,73.8,True,24.3,2022-12-26 13:43:15.358936
70.6,69.9,True,24.3,2022-12-26 13:43:15.922860
71.2,72.2,True,24.3,2022-12-26 13:43:16.490350
70.6,68.6,True,24.3,2022-12-26 13:43:17.066377
70.8,71.4,True,24.3,2022-12-26 13:43:17.660974
71.2,71.2,True,24.3,2022-12-26 13:43:18.442720
70.5,70.3,True,24.3,2022-12-26 13:43:19.027766
71.3,71.9,True,24.3,2022-12-26 13:43:19.611915
1204.5,1007.9,True,24.3,2022-12-26 13:43:20.168629
1205.2,1203.8,True,24.3,2022-12-26 13:43:20.730519
1204.5,1205.7,True,24.3,2022-12-26 13:43:21.301703
1203,1204.1,True,24.3,2022-12-26 13:43:21.870670
1203,1203.5,True,24.4,2022-12-26 13:43:22.442783
1203.8,1205.7,True,24.4,2022-12-26 13:43:23.004014
1203,1204.9,True,24.4,2022-12-26 13:43:23.574343
1200.8,1202.2,True,24.4,2022-12-26 13:43:24.142249
1201.5,1198,True,24.4,2022-12-26 13:43:24.707400
1199.3,1201.1,True,24.4,2022-12-26 13:43:25.297613
1196.4,1199.1,True,24.4,2022-12-26 13:43:25.877193
1197.9,1196.6,True,24.4,2022-12-26 13:43:26.442967
1195.7,1197.2,True,24.4,2022-12-26 13:43:27.047876
1197.1,1194,True,24.4,2022-12-26 13:43:27.636340
1195.7,1197.1,True,24.4,2022-12-26 13:43:28.236527
1195.7,1198.7,True,24.4,2022-12-26 13:43:28.814835
1195.7,1196.3,True,24.4,2022-12-26 13:43:29.410152
1194.2,1193.8,True,24.4,2022-12-26 13:43:29.981834
1195.7,1193.3,True,24.4,2022-12-26 13:43:30.565207
1193.5,1196.6,True,24.4,2022-12-26 13:43:31.134241
1195,1195.8,True,24.4,2022-12-26 13:43:31.703546
1192.8,1194.5,True,24.3,2022-12-26 13:43:32.298771
1192.8,1194.3,True,24.3,2022-12-26 13:43:32.900006
1195.7,1191.6,True,24.3,2022-12-26 13:43:33.466415
1195,1195.5,True,24.3,2022-12-26 13:43:34.045624
1195,1196.8,True,24.3,2022-12-26 13:43:34.627588
1195.7,1196.8,True,24.3,2022-12-26 13:43:35.188503
1194.2,1195.1,True,24.3,2022-12-26 13:43:35.763342
1195,1195.8,True,24.3,2022-12-26 13:43:36.331652
1193.5,1195.5,True,24.3,2022-12-26 13:43:36.909086
1195.7,1193.8,True,24.3,2022-12-26 13:43:37.489789
1193.5,1196.8,True,24.3,2022-12-26 13:43:38.063202
1194.2,1191.2,True,24.3,2022-12-26 13:43:38.623539
1193.5,1194.7,True,24.3,2022-12-26 13:43:39.250577
1195,1196.3,True,24.3,2022-12-26 13:43:39.827219
1194.2,1192.7,True,24.3,2022-12-26 13:43:40.393374
1196.4,1198.3,True,24.3,2022-12-26 13:43:41.003214
1195,1194.6,True,24.3,2022-12-26 13:43:41.603778
1196.4,1195.5,True,24.3,2022-12-26 13:43:42.233495
1196.4,1199.3,True,24.3,2022-12-26 13:43:42.802125
1197.9,1196.6,True,24.3,2022-12-26 13:43:43.374215
1196.4,1198.3,True,24.3,2022-12-26 13:43:43.966532
1197.1,1197.6,True,24.3,2022-12-26 13:43:44.543614
1198.6,1196.6,True,24.3,2022-12-26 13:43:45.111400
1196.4,1200.4,True,24.3,2022-12-26 13:43:45.702448
1197.9,1197.2,True,24.3,2022-12-26 13:43:46.276787
1197.9,1196.6,True,24.3,2022-12-26 13:43:46.843465
1196.4,1198.9,True,24.3,2022-12-26 13:43:47.406470
1198.6,1198.9,True,24.3,2022-12-26 13:43:48.352524
1199.3,1198.7,True,24.3,2022-12-26 13:43:48.927061
1197.9,1199.3,True,24.3,2022-12-26 13:43:49.491493
1197.1,1197.6,True,24.3,2022-12-26 13:43:50.070214
1197.1,1198.1,True,24.3,2022-12-26 13:43:50.637445
1195.7,1196.8,True,24.3,2022-12-26 13:43:51.202797
1197.9,1198.5,True,24.3,2022-12-26 13:43:51.768594
1198.6,1197.2,True,24.2,2022-12-26 13:43:52.342794
1195.7,1198.7,True,24.2,2022-12-26 13:43:52.906731
1197.1,1194.6,True,24.2,2022-12-26 13:43:53.493806
1196.4,1198.5,True,24.2,2022-12-26 13:43:54.063809
1196.4,1195.2,True,24.2,2022-12-26 13:43:54.655858
1196.4,1194.9,True,24.2,2022-12-26 13:43:55.231277
1195,1196.4,True,24.2,2022-12-26 13:43:55.802646
1196.4,1196.6,True,24.2,2022-12-26 13:43:56.370119
1194.2,1196.1,True,24.2,2022-12-26 13:43:56.969670
1197.1,1195.2,True,24.2,2022-12-26 13:43:57.542432
1195.7,1197.6,True,24.2,2022-12-26 13:43:58.123053
1197.1,1195.7,True,24.2,2022-12-26 13:43:58.695969
1197.1,1197.4,True,24.2,2022-12-26 13:43:59.301864
1196.4,1196.3,True,24.2,2022-12-26 13:43:59.894772
1196.4,1197.8,True,24.2,2022-12-26 13:44:00.545801
1197.1,1195.9,True,24.2,2022-12-26 13:44:01.125387
1196.4,1194.9,True,24.2,2022-12-26 13:44:01.706347
1194.2,1197.8,True,24.3,2022-12-26 13:44:02.280425
1196.4,1194.9,True,24.3,2022-12-26 13:44:02.873680
1193.5,1195.1,True,24.3,2022-12-26 13:44:03.446057
1195,1193.6,True,24.3,2022-12-26 13:44:04.042432
1194.2,1194,True,24.3,2022-12-26 13:44:04.631145
1195.7,1196.7,True,24.3,2022-12-26 13:44:05.211703
1195,1193.7,True,24.3,2022-12-26 13:44:05.807072
1195.7,1196,True,24.3,2022-12-26 13:44:06.371541
1193.5,1193.8,True,24.3,2022-12-26 13:44:06.943594
1195.7,1194.7,True,24.3,2022-12-26 13:44:07.503851
1193.5,1196.2,True,24.3,2022-12-26 13:44:08.061642
1195.7,1194.1,True,24.3,2022-12-26 13:44:08.628380
1194.2,1195.8,True,24.3,2022-12-26 13:44:09.194548
1196.4,1195.7,True,24.3,2022-12-26 13:44:09.777565
1193.5,1194.9,True,24.3,2022-12-26 13:44:10.347755
1195.7,1192.6,True,24.3,2022-12-26 13:44:10.929957
1193.5,1196.3,True,24.3,2022-12-26 13:44:11.509819
1195,1194.5,True,24.3,2022-12-26 13:44:12.075483
1190.6,1193.9,True,24.1,2022-12-26 13:44:12.642194
1194.2,1191.3,True,24.1,2022-12-26 13:44:13.202040
1192,1194.9,True,24.1,2022-12-26 13:44:13.805064
1193.5,1193.5,True,24.1,2022-12-26 13:44:14.403407
1194.2,1191.9,True,24.1,2022-12-26 13:44:14.983269
1192,1196.1,True,24.1,2022-12-26 13:44:15.550003
1194.2,1192.5,True,24.1,2022-12-26 13:44:16.184379
1192,1192.6,True,24.1,2022-12-26 13:44:16.784576
1193.5,1193.5,True,24.1,2022-12-26 13:44:17.355795
1195,1194.5,True,24.1,2022-12-26 13:44:17.947889
1195.7,1196.6,True,24.1,2022-12-26 13:44:18.516778
1196.4,1195.6,True,24.1,2022-12-26 13:44:19.152762
1194.2,1197,True,24.1,2022-12-26 13:44:19.792331
1195.7,1193.9,True,24.1,2022-12-26 13:44:20.472891
1196.4,1196.4,True,24.1,2022-12-26 13:44:21.202014
1194.2,1194.1,True,24.1,2022-12-26 13:44:21.848802
1195.7,1194.2,True,24.2,2022-12-26 13:44:22.424128
1195,1196.6,True,24.2,2022-12-26 13:44:22.994016
1197.1,1197.4,True,24.2,2022-12-26 13:44:23.557040
1195,1193,True,24.2,2022-12-26 13:44:24.132766
1195.7,1199.3,True,24.2,2022-12-26 13:44:24.701539
1196.4,1196.8,True,24.2,2022-12-26 13:44:25.261460
1195,1196.7,True,24.2,2022-12-26 13:44:25.858923
1196.4,1194.2,True,24.2,2022-12-26 13:44:26.458248
1195,1196.5,True,24.2,2022-12-26 13:44:27.043262
1196.4,1196.2,True,24.2,2022-12-26 13:44:27.643219
1195,1193.9,True,24.2,2022-12-26 13:44:28.228652
1197.1,1198.9,True,24.2,2022-12-26 13:44:28.793915
1196.4,1197.4,True,24.2,2022-12-26 13:44:29.376563
1196.4,1196.6,True,24.2,2022-12-26 13:44:29.946435
1195,1196.6,True,24.2,2022-12-26 13:44:30.510721
1193.5,1193.8,True,24.2,2022-12-26 13:44:31.084707
1197.1,1195.3,True,24.2,2022-12-26 13:44:31.646772
1194.2,1198.1,True,24.1,2022-12-26 13:44:32.209602
1196.4,1195.8,True,24.1,2022-12-26 13:44:32.845856
1196.4,1196.6,True,24.1,2022-12-26 13:44:33.607759
1194.2,1194.2,True,24.1,2022-12-26 13:44:34.203597
1197.1,1196.8,True,24.1,2022-12-26 13:44:34.766880
1195,1197.4,True,24.1,2022-12-26 13:44:35.334921
1196.4,1196.3,True,24.1,2022-12-26 13:44:35.909129
1196.4,1195.4,True,24.1,2022-12-26 13:44:36.493983
1194.2,1196.2,True,24.1,2022-12-26 13:44:37.054277
1196.4,1195,True,24.1,2022-12-26 13:44:37.648242
1198.6,1200.7,True,24.1,2022-12-26 13:44:38.250731
1199.3,1197.6,True,24.1,2022-12-26 13:44:38.849547
1197.9,1199.9,True,24.1,2022-12-26 13:44:39.429522
1196.4,1196.9,True,24.1,2022-12-26 13:44:40.018201
1198.6,1198.7,True,24.1,2022-12-26 13:44:40.602677
1197.9,1198.3,True,24.1,2022-12-26 13:44:41.165054
1196.4,1198.9,True,24.1,2022-12-26 13:44:41.745277
1197.9,1197,True,24.2,2022-12-26 13:44:42.322354
1197.1,1195.5,True,24.2,2022-12-26 13:44:42.897183
1197.9,1199.3,True,24.2,2022-12-26 13:44:43.486141
1200.1,1199.3,True,24.2,2022-12-26 13:44:44.065703
1195.7,1195.2,True,24.2,2022-12-26 13:44:44.647756
1196.4,1197.8,True,24.2,2022-12-26 13:44:45.232337
1197.1,1193.3,True,24.2,2022-12-26 13:44:45.841441
1195.7,1198.2,True,24.2,2022-12-26 13:44:46.441505
1197.1,1196.2,True,24.2,2022-12-26 13:44:47.043592
1195.7,1195.4,True,24.2,2022-12-26 13:44:47.643739
1197.9,1198.5,True,24.2,2022-12-26 13:44:48.275020
1195,1195,True,24.2,2022-12-26 13:44:48.847114
1197.1,1196.3,True,24.2,2022-12-26 13:44:49.446654
1195,1197.1,True,24.2,2022-12-26 13:44:50.081734
1197.1,1195.6,True,24.2,2022-12-26 13:44:50.681174
1194.2,1196.9,True,24.2,2022-12-26 13:44:51.247671
1196.4,1197.8,True,24.2,2022-12-26 13:44:51.843251
1193.5,1195.6,True,24.2,2022-12-26 13:44:52.439637
1195,1194.5,True,24.2,2022-12-26 13:44:53.007942
1193.5,1194.7,True,24.2,2022-12-26 13:44:53.568795
1195.7,1196,True,24.2,2022-12-26 13:44:54.137877
1200.1,1199.3,True,24.2,2022-12-26 13:44:54.709354
1198.6,1199.6,True,24.2,2022-12-26 13:44:55.301986
1200.1,1200.7,True,24.2,2022-12-26 13:44:55.903533
1201.5,1198.7,True,24.2,2022-12-26 13:44:56.485065
1200.1,1201.1,True,24.2,2022-12-26 13:44:57.074760
1200.1,1199.8,True,24.2,2022-12-26 13:44:57.636962
1200.1,1203.5,True,24.2,2022-12-26 13:44:58.208880
1202.3,1202.2,True,24.2,2022-12-26 13:44:58.771043
1201.5,1200,True,24.2,2022-12-26 13:44:59.356861
1200.1,1201.5,True,24.2,2022-12-26 13:44:59.942304
1199.3,1201.6,True,24.2,2022-12-26 13:45:00.501902
1200.1,1200.1,True,24.2,2022-12-26 13:45:01.073324
1200.1,1199.5,True,24.2,2022-12-26 13:45:01.652950
1200.1,1198.7,True,24.1,2022-12-26 13:45:02.222095
1199.3,1202.7,True,24.1,2022-12-26 13:45:02.920586
1200.1,1200.9,True,24.1,2022-12-26 13:45:03.638677
1199.3,1197.6,True,24.1,2022-12-26 13:45:04.204921
1200.1,1199.7,True,24.1,2022-12-26 13:45:04.778881
1200.8,1202.5,True,24.1,2022-12-26 13:45:05.352729
1201.5,1200.8,True,24.1,2022-12-26 13:45:05.915601
1200.1,1201.6,True,24.1,2022-12-26 13:45:06.512836
1199.3,1199.8,True,24.1,2022-12-26 13:45:07.100884
1200.1,1200.3,True,24.1,2022-12-26 13:45:07.692275
1201.5,1202.2,True,24.1,2022-12-26 13:45:08.290406
1199.3,1199.6,True,24.1,2022-12-26 13:45:08.875470
1199.3,1200.9,True,24.1,2022-12-26 13:45:09.458572
1200.8,1197.8,True,24.1,2022-12-26 13:45:10.047369
1198.6,1200.2,True,24.1,2022-12-26 13:45:10.625503
1197.1,1197.4,True,24.1,2022-12-26 13:45:11.194967
1199.3,1200.8,True,24.1,2022-12-26 13:45:11.756116
1200.1,1196,True,24.1,2022-12-26 13:45:12.323254
1197.1,1199.7,True,24.1,2022-12-26 13:45:12.899352
1197.1,1199.1,True,24.1,2022-12-26 13:45:13.492935
1199.3,1198.9,True,24.1,2022-12-26 13:45:14.079251
1197.9,1197.6,True,24.1,2022-12-26 13:45:14.681142
1197.9,1198.3,True,24.1,2022-12-26 13:45:15.243706
1198.6,1200.5,True,24.1,2022-12-26 13:45:15.890498
1195,1195.1,True,24.1,2022-12-26 13:45:16.487997
1196.4,1196.4,True,24.1,2022-12-26 13:45:17.081086
1195,1194.5,True,24.1,2022-12-26 13:45:17.676236
1195,1195.1,True,24.1,2022-12-26 13:45:18.439592
1197.1,1198.3,True,24.1,2022-12-26 13:45:19.086024
1195,1194.8,True,24.1,2022-12-26 13:45:19.666492
1197.1,1196.6,True,24.1,2022-12-26 13:45:20.288071
1194.2,1198,True,24.1,2022-12-26 13:45:20.932223
1197.1,1194.3,True,24.1,2022-12-26 13:45:21.502125
1194.2,1197.2,True,24.1,2022-12-26 13:45:22.072655
1197.1,1195.3,True,24.1,2022-12-26 13:45:22.643381
1197.1,1197.2,True,24.1,2022-12-26 13:45:23.212960
1195.7,1196.6,True,24.1,2022-12-26 13:45:23.804471
1197.9,1198.5,True,24.1,2022-12-26 13:45:24.399842
1195.7,1196.3,True,24.1,2022-12-26 13:45:24.962697
1197.9,1199.4,True,24.1,2022-12-26 13:45:25.563404
1197.1,1195.4,True,24.1,2022-12-26 13:45:26.150391
1196.4,1195.8,True,24.1,2022-12-26 13:45:26.743270
1197.9,1198.7,True,24.1,2022-12-26 13:45:27.324311
1196.4,1195.9,True,24.1,2022-12-26 13:45:27.912709
1197.9,1198.5,True,24.1,2022-12-26 13:45:28.484594
1199.3,1198.9,True,24.1,2022-12-26 13:45:29.084171
1198.6,1198.7,True,24.1,2022-12-26 13:45:29.650000
1198.6,1198.5,True,24.1,2022-12-26 13:45:30.309804
1200.8,1202.2,True,24.1,2022-12-26 13:45:30.876559
1199.3,1199.5,True,24.1,2022-12-26 13:45:31.444021
1200.1,1200.8,True,24.1,2022-12-26 13:45:32.007057
1198.6,1200.3,True,24.2,2022-12-26 13:45:32.571055
1200.1,1201.3,True,24.2,2022-12-26 13:45:33.155369
1200.8,1197.8,True,24.2,2022-12-26 13:45:33.769001
1199.3,1202.2,True,24.2,2022-12-26 13:45:34.363008
1200.1,1202.6,True,24.2,2022-12-26 13:45:34.951739
1201.5,1198,True,24.2,2022-12-26 13:45:35.536874
1200.1,1201.4,True,24.2,2022-12-26 13:45:36.135772
1199.3,1199.5,True,24.2,2022-12-26 13:45:36.704512
1199.3,1203.8,True,24.2,2022-12-26 13:45:37.263738
1200.1,1201.4,True,24.2,2022-12-26 13:45:37.835394
1200.8,1200.8,True,24.2,2022-12-26 13:45:38.398333
1200.8,1198,True,24.2,2022-12-26 13:45:38.966405
1199.3,1199.7,True,24.2,2022-12-26 13:45:39.525508
1201.5,1202.6,True,24.2,2022-12-26 13:45:40.115947
1202.3,1202.2,True,24.2,2022-12-26 13:45:40.700674
1203,1203.4,True,24.2,2022-12-26 13:45:41.265431
1203,1203.2,True,24.2,2022-12-26 13:45:41.830562
1203.8,1202.2,True,24.3,2022-12-26 13:45:42.395190
1204.5,1206.2,True,24.3,2022-12-26 13:45:42.966519
1204.5,1203,True,24.3,2022-12-26 13:45:43.527634
1204.5,1204.4,True,24.3,2022-12-26 13:45:44.105497
1203.8,1204.9,True,24.3,2022-12-26 13:45:44.708542
1203.8,1204.9,True,24.3,2022-12-26 13:45:45.304596
1203.8,1205,True,24.3,2022-12-26 13:45:45.903997
1203,1205.1,True,24.3,2022-12-26 13:45:46.486122
1203,1205.9,True,24.3,2022-12-26 13:45:47.082039
1203,1201.9,True,24.3,2022-12-26 13:45:47.646193
1203.8,1205.2,True,24.3,2022-12-26 13:45:48.249237
1204.5,1205.5,True,24.3,2022-12-26 13:45:48.844457
1204.5,1205.4,True,24.3,2022-12-26 13:45:49.431184
1203.8,1203.9,True,24.3,2022-12-26 13:45:50.022316
1202.3,1201.1,True,24.3,2022-12-26 13:45:50.577519
1202.3,1201.3,True,24.3,2022-12-26 13:45:51.163675
1202.3,1203,True,24.3,2022-12-26 13:45:51.736521
1200.8,1202.7,True,24.3,2022-12-26 13:45:52.299218
