power,Ws,relay,temperature,time
19.7,19.6,True,26.3,2022-12-22 20:15:45.919993
19.5,20.1,True,26.3,2022-12-22 20:15:46.039523
19.5,21.7,True,26.3,2022-12-22 20:15:46.717716
19.7,19.7,True,26.3,2022-12-22 20:15:47.319546
19.6,20.1,True,26.3,2022-12-22 20:15:47.898196
19.3,17,True,26.3,2022-12-22 20:15:48.482137
19.3,20.2,True,26.3,2022-12-22 20:15:49.057151
19.6,20.7,True,26.3,2022-12-22 20:15:49.621748
19.1,17.3,True,26.3,2022-12-22 20:15:50.190804
19.1,20.7,True,26.3,2022-12-22 20:15:50.753470
19.2,16.7,True,26.3,2022-12-22 20:15:51.338421
19.7,19.9,True,26.3,2022-12-22 20:15:51.934546
19.1,19.7,True,26.3,2022-12-22 20:15:52.526524
19,20.3,True,26.3,2022-12-22 20:15:53.104302
19.1,20.4,True,26.3,2022-12-22 20:15:53.681690
19.6,17.2,True,26.3,2022-12-22 20:15:54.299239
19.2,18.7,True,26.3,2022-12-22 20:15:54.878767
19.3,20.4,True,26.3,2022-12-22 20:15:55.463136
19,19.9,True,26.3,2022-12-22 20:15:56.074382
18.9,16.5,True,26.3,2022-12-22 20:15:56.636343
18.9,20.4,True,26.3,2022-12-22 20:15:57.209652
18.8,20.8,True,26.3,2022-12-22 20:15:57.776331
18.9,17.4,True,26.3,2022-12-22 20:15:58.341924
18.9,20.3,True,26.3,2022-12-22 20:15:58.915387
18.9,17.4,True,26.3,2022-12-22 20:15:59.516524
18.8,18.5,True,26.3,2022-12-22 20:16:00.115413
19,20.4,True,26.3,2022-12-22 20:16:00.688473
18.9,16.9,True,26.3,2022-12-22 20:16:01.264791
19,20.6,True,26.3,2022-12-22 20:16:01.834256
18.9,17.2,True,26.3,2022-12-22 20:16:02.400531
18.9,20.8,True,26.3,2022-12-22 20:16:02.970658
18.9,17.1,True,26.3,2022-12-22 20:16:03.540228
18.8,21,True,26.3,2022-12-22 20:16:04.099884
18.9,16.3,True,26.3,2022-12-22 20:16:04.699747
19,19.7,True,26.3,2022-12-22 20:16:05.297003
19,20.6,True,26.3,2022-12-22 20:16:05.866163
18.9,17.1,True,26.3,2022-12-22 20:16:06.442395
18.9,19.9,True,26.3,2022-12-22 20:16:07.033362
18.8,20,True,26.3,2022-12-22 20:16:07.618025
19,17.4,True,26.3,2022-12-22 20:16:08.189062
18.9,20,True,26.3,2022-12-22 20:16:08.771800
18.8,17.1,True,26.3,2022-12-22 20:16:09.342977
18.8,21,True,26.3,2022-12-22 20:16:09.903420
19,16.9,True,26.3,2022-12-22 20:16:10.484790
18.9,20.2,True,26.3,2022-12-22 20:16:11.063245
18.9,17.2,True,26.3,2022-12-22 20:16:11.633938
18.9,20,True,26.3,2022-12-22 20:16:12.219481
18.9,17.4,True,26.3,2022-12-22 20:16:12.780429
18.9,20.7,True,26.3,2022-12-22 20:16:13.353658
18.8,17.4,True,26.3,2022-12-22 20:16:13.912427
18.7,20.6,True,26.3,2022-12-22 20:16:14.483573
18.8,17.3,True,26.3,2022-12-22 20:16:15.043935
18.9,20.4,True,26.3,2022-12-22 20:16:15.621193
18.8,20,True,26.3,2022-12-22 20:16:16.208831
18.8,16.5,True,26.3,2022-12-22 20:16:16.816234
18.7,19.5,True,26.3,2022-12-22 20:16:17.408124
18.9,19.7,True,26.3,2022-12-22 20:16:18.004245
18.8,19.6,True,26.3,2022-12-22 20:16:18.612798
18.8,16.1,True,26.2,2022-12-22 20:16:19.212227
18.9,19.7,True,26.2,2022-12-22 20:16:19.807585
18.9,19.6,True,26.2,2022-12-22 20:16:20.405175
18.9,19.8,True,26.2,2022-12-22 20:16:21.005844
18.9,17.2,True,26.2,2022-12-22 20:16:21.569384
19,19.9,True,26.2,2022-12-22 20:16:22.172880
19,19.1,True,26.2,2022-12-22 20:16:22.775676
19.1,20,True,26.2,2022-12-22 20:16:23.367475
19.4,16.9,True,26.2,2022-12-22 20:16:23.940217
19,20.2,True,26.2,2022-12-22 20:16:24.521413
19.1,20.4,True,26.2,2022-12-22 20:16:25.102380
18.8,17,True,26.2,2022-12-22 20:16:25.675918
18.8,20.3,True,26.2,2022-12-22 20:16:26.248652
19,17.2,True,26.2,2022-12-22 20:16:26.818828
18.9,20.4,True,26.2,2022-12-22 20:16:27.398215
18.6,16.8,True,26.2,2022-12-22 20:16:27.978276
18.7,19.8,True,26.2,2022-12-22 20:16:28.575842
18.7,17.2,True,26.2,2022-12-22 20:16:29.155783
18.7,20.1,True,26.2,2022-12-22 20:16:29.756530
18.8,19.7,True,26.2,2022-12-22 20:16:30.332866
18.8,16.7,True,26.2,2022-12-22 20:16:30.909213
18.8,19.7,True,26.2,2022-12-22 20:16:31.506330
18.8,20.1,True,26.2,2022-12-22 20:16:32.089974
18.7,17.4,True,26.2,2022-12-22 20:16:32.659172
19,18.5,True,26.2,2022-12-22 20:16:33.296785
18.6,20.4,True,26.2,2022-12-22 20:16:33.870277
18.8,17.2,True,26.2,2022-12-22 20:16:34.435121
18.8,20.9,True,26.2,2022-12-22 20:16:35.000717
